지역,확진일,확진자수
강남구,2020-02-26,2
강남구,2020-02-27,1
강남구,2020-02-28,3
강남구,2020-02-29,1
강남구,2020-03-01,1
강남구,2020-03-02,1
강남구,2020-03-05,1
강남구,2020-03-07,1
강남구,2020-03-08,1
강남구,2020-03-12,1
강남구,2020-03-14,1
강남구,2020-03-18,2
강남구,2020-03-19,1
강남구,2020-03-23,1
강남구,2020-03-24,1
강남구,2020-03-25,4
강남구,2020-03-26,4
강남구,2020-03-27,2
강남구,2020-03-28,5
강남구,2020-03-29,4
강남구,2020-03-31,3
강남구,2020-04-02,2
강남구,2020-04-03,5
강남구,2020-04-04,2
강남구,2020-04-06,3
강남구,2020-04-07,1
강남구,2020-04-08,2
강남구,2020-04-09,1
강남구,2020-04-10,2
강남구,2020-04-16,1
강남구,2020-04-17,1
강남구,2020-04-18,1
강남구,2020-04-27,2
강남구,2020-05-09,1
강남구,2020-05-10,4
강남구,2020-05-14,1
강남구,2020-05-15,1
강남구,2020-05-19,1
강남구,2020-05-29,2
강남구,2020-05-31,1
강남구,2020-06-02,1
강남구,2020-06-03,2
강남구,2020-06-16,1
강남구,2020-06-17,1
강남구,2020-06-22,1
강남구,2020-06-24,1
강남구,2020-06-27,1
강남구,2020-07-02,1
강남구,2020-07-04,1
강남구,2020-07-09,2
강남구,2020-07-10,1
강남구,2020-07-11,1
강남구,2020-07-13,2
강남구,2020-07-17,1
강남구,2020-07-18,1
강남구,2020-07-22,3
강남구,2020-07-26,1
강남구,2020-07-30,1
강남구,2020-08-07,3
강남구,2020-08-11,1
강남구,2020-08-14,5
강남구,2020-08-15,3
강남구,2020-08-16,1
강남구,2020-08-17,2
강남구,2020-08-18,6
강남구,2020-08-19,5
강남구,2020-08-20,5
강남구,2020-08-21,5
강남구,2020-08-22,7
강남구,2020-08-23,5
강남구,2020-08-24,5
강남구,2020-08-25,7
강남구,2020-08-26,2
강남구,2020-08-27,4
강남구,2020-08-28,4
강남구,2020-08-29,4
강남구,2020-08-30,2
강남구,2020-08-31,12
강남구,2020-09-01,9
강남구,2020-09-02,4
강남구,2020-09-03,4
강남구,2020-09-04,5
강남구,2020-09-05,3
강남구,2020-09-06,1
강남구,2020-09-07,2
강남구,2020-09-08,2
강남구,2020-09-09,1
강남구,2020-09-10,1
강남구,2020-09-11,5
강남구,2020-09-12,3
강남구,2020-09-13,4
강남구,2020-09-14,7
강남구,2020-09-15,1
강남구,2020-09-16,8
강남구,2020-09-17,3
강남구,2020-09-18,5
강남구,2020-09-19,4
강남구,2020-09-20,2
강남구,2020-09-22,1
강남구,2020-09-23,2
강남구,2020-09-24,1
강남구,2020-09-25,3
강남구,2020-09-27,2
강남구,2020-09-30,1
강남구,2020-10-01,1
강남구,2020-10-03,1
강남구,2020-10-04,1
강남구,2020-10-06,2
강남구,2020-10-08,3
강남구,2020-10-11,1
강남구,2020-10-12,1
강남구,2020-10-13,3
강남구,2020-10-14,1
강남구,2020-10-17,2
강남구,2020-10-18,2
강남구,2020-10-19,2
